row_id,paper_id,page_num,chemical_composition,alloy_composition,density,tensile_strength,elongation,thermal_conductivity,thermal_expansion,manufacturing_process,source_label,source_snippet,extracted_from
70,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,20,,GRCop-84,8.81–8.83 kgm−3,"YS = 196.2 MPa @ Room temperature, UTS = 368 MPa @ Room temperature",,284 Wm−1K−1,,Extruded,Table 5,ExtrudedGRCop-84 196.2 368[1] 21.7[1] 39.7[1] 112[2] 8.81–8.83+[3] 381.8++[3] 284i[4],table
71,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,20,,GRCop-84,,"YS = 187 MPa @ Room temperature, UTS = 361 MPa @ Room temperature",,304 Wm−1K−1,,"Extruded, Brazed at 1208 K",Table 5,187*[1] 361*[1] 25.5*[1] 40.6*[1] 304ii[4],table
72,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,20,,GRCop-84,,"YS = 226 MPa @ Room temperature, UTS = 368.2 MPa @ Room temperature",,,,Extruded,Table 5,226[5] 368.2[5],table
73,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,20,,GRCop-42,8.88–8.89 kgm−3,"YS = 200 MPa @ Room temperature, UTS = 422 MPa @ Room temperature",,,,Extruded,Table 5,ExtrudedGRCop-42 200[5] 422[5] 30[5] 8.88–8.89+[3] 346[5],table
74,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,20,,GRCop-84,,"YS = 208 MPa @ Room temperature, UTS = 390 MPa @ Room temperature",,,,SLM & HIP,Table 5,SLM&HIPGRCop-84 208[5] 390[5] 30[5],table
75,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,20,,GRCop-42,,"YS = 173 MPa @ Room temperature, UTS = 357 MPa @ Room temperature",,,,SLM & HIP,Table 5,SLM&HIPGRCop-42 173[5] 357[5] 32.9[5],table
76,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,21,,Cu-1Cr-0.1Zr,,YS and UTS (as-received) are better than GRCop-84; YS and UTS (brazed) are at least half that of brazed GRCop-84.,,,,"as-received, brazed",Text,"Although as-received Cu-1Cr-0.1Zr and Cu-0.9Cr have better UTS and YS then GRCop-84, their brazed counterparts are at least half that of brazed GRCop-84...",text
77,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,21,,Cu-0.9Cr,,YS and UTS (as-received) are better than GRCop-84; YS and UTS (brazed) are at least half that of brazed GRCop-84.,,,,"as-received, brazed",Text,"Although as-received Cu-1Cr-0.1Zr and Cu-0.9Cr have better UTS and YS then GRCop-84, their brazed counterparts are at least half that of brazed GRCop-84...",text
78,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,21,,GRCop-84,,Superior UTS and YS values above 773K; exhibits limited UTS and YS loss compared to other alloys at all temperatures.,,,,brazed,Text,"While other alloys demonstrate better UTS and YS below 773K, brazed GlidCop Al-15 and GRCop-84 have superior UTS and YS values above 773K. Although as-received Cu-1Cr-0.1Zr and Cu-0.9Cr have better UTS and YS then GRCop-84, their brazed counterparts are at least half that of brazed GRCop-84...At alltemperatures,GRCop-84andGlidCopAl-15arethe least effected by the brazing cycle and exhibit limited UTS and YS loss compared to the other alloys.",text
79,Copper-based alloys for structural high-heat-flux applications  a review of development  properties  and performance of Cu-rich Cu Cr Nb alloys,21,,GlidCop Al-15,,Superior UTS and YS values above 773K; exhibits limited UTS and YS loss compared to other alloys at all temperatures.,,,,brazed,Text,"While other alloys demonstrate better UTS and YS below 773K, brazed GlidCop Al-15 and GRCop-84 have superior UTS and YS values above 773K...At alltemperatures,GRCop-84andGlidCopAl-15arethe least effected by the brazing cycle and exhibit limited UTS and YS loss compared to the other alloys.",text
